id,symbol,datetime,price
133,NVDA,2024-07-23 09:00:28,123.39
134,NVDA,2024-07-23 09:01:30,123.26
135,NVDA,2024-07-23 09:02:30,123.31
136,NVDA,2024-07-23 09:03:32,123.28
137,NVDA,2024-07-23 09:04:33,123.25
138,NVDA,2024-07-23 09:05:34,123.34
139,NVDA,2024-07-23 09:06:35,123.3
140,NVDA,2024-07-23 09:07:36,123.43
141,NVDA,2024-07-23 09:08:37,123.51
142,NVDA,2024-07-23 09:09:38,123.51
143,NVDA,2024-07-23 09:10:39,123.57
144,NVDA,2024-07-23 09:11:40,123.62
145,NVDA,2024-07-23 09:12:41,123.64
146,NVDA,2024-07-23 09:13:43,123.64
147,NVDA,2024-07-23 09:14:44,123.84
148,NVDA,2024-07-23 09:15:45,123.8
149,NVDA,2024-07-23 09:16:46,123.71
150,NVDA,2024-07-23 09:17:47,123.7
151,NVDA,2024-07-23 09:18:48,123.66
152,NVDA,2024-07-23 09:19:49,123.67
153,NVDA,2024-07-23 09:20:50,123.67
154,NVDA,2024-07-23 09:21:51,123.7
155,NVDA,2024-07-23 09:22:52,123.45
156,NVDA,2024-07-23 09:23:54,123.25
157,NVDA,2024-07-23 09:24:55,123.25
158,NVDA,2024-07-23 09:25:56,123.29
159,NVDA,2024-07-23 09:26:57,123.34
160,NVDA,2024-07-23 09:27:58,123.39
161,NVDA,2024-07-23 09:28:59,123.31
162,NVDA,2024-07-23 09:30:00,123.23
163,NVDA,2024-07-23 09:31:01,123.19
164,NVDA,2024-07-23 09:32:03,123.2
165,NVDA,2024-07-23 09:33:03,123.3
166,NVDA,2024-07-23 09:34:04,123.31
167,NVDA,2024-07-23 09:35:05,123.26
168,NVDA,2024-07-23 09:36:06,123.34
169,NVDA,2024-07-23 09:37:07,123.41
170,NVDA,2024-07-23 09:38:08,123.42
171,NVDA,2024-07-23 09:39:09,123.38
172,NVDA,2024-07-23 09:40:10,123.44
173,NVDA,2024-07-23 09:41:11,123.5
174,NVDA,2024-07-23 09:42:12,123.25
175,NVDA,2024-07-23 09:43:13,123.23
176,NVDA,2024-07-23 09:44:14,123.25
177,NVDA,2024-07-23 09:45:15,123.25
178,NVDA,2024-07-23 09:46:16,123.19
179,NVDA,2024-07-23 09:47:17,123.25
180,NVDA,2024-07-23 09:48:18,123.29
181,NVDA,2024-07-23 09:49:20,123.23
182,NVDA,2024-07-23 09:50:21,123.13
183,NVDA,2024-07-23 09:51:25,123.05
184,NVDA,2024-07-23 09:52:26,123.09
185,NVDA,2024-07-23 09:53:27,123.04
186,NVDA,2024-07-23 09:54:29,123.03
187,NVDA,2024-07-23 09:55:30,123.0
188,NVDA,2024-07-23 09:56:31,122.95
189,NVDA,2024-07-23 09:57:32,122.53
190,NVDA,2024-07-23 09:58:33,122.78
191,NVDA,2024-07-23 09:59:34,122.86
192,NVDA,2024-07-23 10:00:34,122.8
193,NVDA,2024-07-23 10:01:35,123.02
194,NVDA,2024-07-23 10:02:36,123.04
195,NVDA,2024-07-23 10:03:38,122.92
196,NVDA,2024-07-23 10:04:39,122.99
197,NVDA,2024-07-23 10:05:40,122.94
198,NVDA,2024-07-23 10:06:41,122.94
199,NVDA,2024-07-23 10:07:42,122.93
200,NVDA,2024-07-23 10:08:43,122.85
201,NVDA,2024-07-23 10:09:44,122.82
202,NVDA,2024-07-23 10:10:45,122.7
203,NVDA,2024-07-23 10:11:46,122.68
204,NVDA,2024-07-23 10:12:47,122.47
205,NVDA,2024-07-23 10:13:48,122.56
206,NVDA,2024-07-23 10:14:50,122.58
207,NVDA,2024-07-23 10:15:50,122.7
208,NVDA,2024-07-23 10:16:51,122.72
209,NVDA,2024-07-23 10:17:53,122.74
210,NVDA,2024-07-23 10:18:54,122.74
211,NVDA,2024-07-23 10:19:55,122.64
212,NVDA,2024-07-23 10:20:56,122.68
213,NVDA,2024-07-23 10:21:57,122.78
214,NVDA,2024-07-23 10:22:58,122.88
215,NVDA,2024-07-23 10:23:59,122.92
216,NVDA,2024-07-23 10:25:00,122.86
217,NVDA,2024-07-23 10:26:01,122.95
218,NVDA,2024-07-23 10:27:03,123.03
219,NVDA,2024-07-23 10:28:04,122.96
220,NVDA,2024-07-23 10:29:05,122.97
221,NVDA,2024-07-23 10:30:06,122.86
222,NVDA,2024-07-23 10:31:07,122.72
223,NVDA,2024-07-23 10:32:09,122.77
224,NVDA,2024-07-23 10:33:10,122.78
225,NVDA,2024-07-23 10:34:11,122.73
226,NVDA,2024-07-23 10:35:13,122.72
227,NVDA,2024-07-23 10:36:14,122.72
228,NVDA,2024-07-23 10:37:15,122.72
229,NVDA,2024-07-23 10:38:16,122.73
230,NVDA,2024-07-23 10:39:17,122.69
231,NVDA,2024-07-23 10:40:18,122.69
232,NVDA,2024-07-23 10:41:19,122.66
233,NVDA,2024-07-23 10:42:21,122.68
234,NVDA,2024-07-23 10:43:22,122.67
235,NVDA,2024-07-23 10:44:23,122.71
236,NVDA,2024-07-23 10:45:25,122.74
237,NVDA,2024-07-23 10:46:26,122.74
238,NVDA,2024-07-23 10:47:27,122.82
239,NVDA,2024-07-23 10:48:28,122.81
240,NVDA,2024-07-23 10:49:30,122.75
241,NVDA,2024-07-23 10:50:31,122.75
242,NVDA,2024-07-23 10:51:33,122.72
243,NVDA,2024-07-23 10:52:34,122.72
244,NVDA,2024-07-23 10:53:35,122.78
245,NVDA,2024-07-23 10:54:36,122.86
246,NVDA,2024-07-23 10:55:37,122.88
247,NVDA,2024-07-23 10:56:38,123.03
248,NVDA,2024-07-23 10:57:39,123.0
249,NVDA,2024-07-23 10:58:40,122.82
250,NVDA,2024-07-23 10:59:41,122.87
251,NVDA,2024-07-23 11:00:43,122.9
252,NVDA,2024-07-23 11:01:44,122.99
253,NVDA,2024-07-23 11:02:45,122.9
254,NVDA,2024-07-23 11:03:47,122.91
255,NVDA,2024-07-23 11:04:48,122.93
256,NVDA,2024-07-23 11:05:49,122.88
257,NVDA,2024-07-23 11:06:50,122.84
258,NVDA,2024-07-23 11:07:51,122.88
259,NVDA,2024-07-23 11:08:53,122.85
260,NVDA,2024-07-23 11:09:54,122.94
261,NVDA,2024-07-23 11:10:55,122.9
262,NVDA,2024-07-23 11:11:56,122.82
263,NVDA,2024-07-23 11:12:57,122.76
264,NVDA,2024-07-23 11:13:59,122.79
265,NVDA,2024-07-23 11:15:00,122.8
